thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Sometimes,Sometimes,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Rarely
Very Often,Often,Very Often,Often,Very Often,Often,Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Sometimes,Sometimes,Rarely
Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Very Often
Rarely,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Never,Rarely,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Somtimes,Rarely,Rarely,Rarely,Rarely,Very Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Never,Rarely,Somtimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never
Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Very Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Never
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very Often,Sometimes,Often,Rarely,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
Often,Very Often,Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Very Often,Never,Often,Rarely
Very Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Very Often,Very Often,Rarely,Often,Rarely
Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Very Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Very Often,Very Often,Sometimes,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometime,Very Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,Rarely,Often,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
Very Often,Very Often,Somtimes,Very Often,Often,Often,Sometimes,Often,Often,Very Often,Often,Sometimes,Sometimes,Often,Rarely,Sometime,Often,Very Often,Often,Often,Often,Often,Very Often,Sometimes,Often,Sometimes,Rarely
Often,Often,Somtimes,Sometimes,Very Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Often,Often,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Rarely,Rarely,Rarely
Very Often,Often,Somtimes,Often,Often,Rarely,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Very Often,Rarely,Often,Rarely
