thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Sometimes,Rarely,Somtimes,Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Sometimes
Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Often,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never
Rarely,Rarely,Somtimes,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Very Often,Never,Very Often
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Often
Sometimes,Often,Very Often,Often,Often,Sometimes,Sometimes,Very Often,Very Often,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Often,Rarely,Never,Sometimes,Sometimes,Sometimes
Very Often,Sometimes,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Rarely,Rarely,Often,Rarely,Rarely,Never,Rarely,Never,Sometimes,Rarely,Often
Rarely,Often,Somtimes,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Often,Rarely,Often,Rarely,Never,Never,Never,Never,Never,Never,Often,Sometimes,Rarely,Rarely,Very Often,Often,Often
Very Often,Often,Never,Sometimes,Sometimes,Often,Sometimes,Very Often,Very Often,Rarely,Sometimes,Very Often,Often,Never,Never,Never,Never,Sometimes,Very Often,Never,Sometimes,Never,Rarely,Never,Often,Never,Very Often
Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Sometimes
Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometime,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Often
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Rarely
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Often,Often
Often,Often,Somtimes,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Rarely,Sometimes,Often,Never,Often,Never
Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Never,Sometimes,Never
Rarely,Sometimes,Never,Never,Rarely,Very Often,Never,Never,Rarely,Rarely,Rarely,Never,Often,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Very Often
Rarely,Rarely,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Sometime,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Very Often
Sometimes,Sometimes,Somtimes,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Very Often
Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometime,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely
Never,Often,Somtimes,Sometimes,Sometimes,Very Often,Very Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Never,Very Often,Very Often,Very Often,Never,Very Often,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Rarely
Sometimes,Rarely,Rarely,Often,Very Often,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Never,Often
Never,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely
Very Often,Very Often,Never,Often,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Very Often,Never,Rarely,Often,Sometimes
Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Rarely
Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Rarely
Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Often,Often,Often
Often,Often,Very Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Often,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes
Often,Often,Somtimes,Sometimes,Rarely,Rarely,Very Often,Sometimes,Often,Sometimes,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Never,Sometimes,Never,Often,Rarely,Very Often
Rarely,Very Often,Rarely,Very Often,Very Often,Rarely,Rarely,Rarely,Very Often,Rarely,Very Often,Never,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Often
Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Rarely,Often,Rarely,Very Often,Rarely,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Often
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Very Often,Sometimes,Somtimes,Rarely,Often,Often,Rarely,Sometimes,Rarely,Often,Often,Often,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Never,Sometimes,Often,Often,Often,Very Often,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Often,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Rarely
